Datum,PreisProAktie,UmsatzProAktie,GewinnProAktie,EigenkapitalQuote
Q2 2021,347.71$,10.26$,3.67$,81.01%
Q1 2021,294.53$,9.19$,3.34$,81.73%
Q4 2020,273.16$,9.85$,3.94$,80.52%
Q3 2020,261.90$,7.53$,2.75$,80.39%
Q2 2020,227.07$,6.56$,1.82$,79.06%
Q1 2020,166.80$,6.22$,1.72$,76.10%
Q4 2019,205.25$,7.39$,2.58$,75.76%
Q3 2019,178.08$,6.19$,2.13$,75.55%
Q2 2019,193.00$,5.91$,0.92$,75.86%
Q1 2019,168.70$,5.28$,0.85$,79.02%
Q4 2018,131.09$,5.89$,2.40$,86.43%
Q3 2018,162.44$,4.76$,1.78$,86.90%
Q2 2018,194.32$,4.57$,1.76$,87.91%
Q1 2018,155.39$,4.12$,1.72$,87.26%
Q4 2017,181.42$,4.46$,1.47$,87.95%
Q3 2017,170.87$,3.56$,1.62$,90.13%
Q2 2017,150.98$,3.21$,1.34$,90.03%
Q1 2017,142.05$,2.78$,1.06$,90.50%
Q4 2016,115.05$,3.06$,1.48$,91.12%
Q3 2016,128.27$,2.44$,0.83$,90.68%
Q2 2016,114.28$,2.25$,0.72$,90.39%
Q1 2016,114.10$,1.89$,0.53$,90.54%
Q4 2015,104.66$,2.07$,0.55$,89.49%
Q3 2015,89.90$,1.60$,0.32$,89.13%
Q2 2015,85.77$,1.45$,0.26$,89.39%
Q1 2015,82.22$,1.27$,0.18$,89.27%
Q4 2014,78.02$,1.39$,0.25$,89.82%
Q3 2014,79.04$,1.24$,0.31$,87.80%
Q2 2014,67.29$,1.14$,0.31$,88.33%
Q1 2014,60.24$,0.98$,0.25$,87.95%
Q4 2013,54.65$,1.05$,0.21$,86.44%
Q3 2013,50.23$,0.83$,0.17$,87.37%
Q2 2013,24.81$,0.75$,0.14$,78.53%
Q1 2013,25.53$,0.61$,0.09$,77.97%
Q4 2012,26.62$,0.67$,0.03$,77.83%
Q3 2012,21.99$,0.52$,-0.02$,88.37%
Q2 2012,31.10$,0.63$,-0.08$,89.15%
